,n_equil,r_s,tau,eavg,err
0,200,8,0.1,-0.18478964737268933,0.00022416949026782677
1,100,8,0.2,-0.18526766481855625,0.00019500676252942888
2,50,8,0.4,-0.1839976999268,0.00014974237125404608
