step,r_s,elocal,weight,weightvar,elocalvar,eref,tau,popstep
0,8,-1.1395887714526034,0.9998466688145632,2.220446049250313e-16,0.02324014535816124,-1.1401752520578823,0.4,10
1,8,-1.1414623110680073,1.0004217398043462,0.009339910113142181,0.023988618283692458,-1.1416127366553224,0.4,10
2,8,-1.1409160239408993,1.0003798182300354,0.018566856948119333,0.024434102131970222,-1.1415079747059211,0.4,10
3,8,-1.1409803761687312,1.0003582528617243,0.027480541470321397,0.02417628865024904,-1.1414540811737701,0.4,10
4,8,-1.1416122920574545,1.0005618606033269,0.03603749510904613,0.02415765097519077,-1.1419628664594372,0.4,10
5,8,-1.1415799174083854,1.0007347961029112,0.04418918292029142,0.02388328812595779,-1.1423949250936114,0.4,10
6,8,-1.1419322243413785,1.000839549543109,0.05189359342717413,0.024349127227242785,-1.1426566027088383,0.4,10
7,8,-1.1429036261700392,1.0011522147173584,0.05946622749536033,0.024109197415067302,-1.1434374879811282,0.4,10
8,8,-1.1427950431990335,1.0013655857433004,0.06682585698955947,0.02386654926443032,-1.143970244860244,0.4,10
9,8,-1.1431775332869418,1.00145604241721,0.07395899142507166,0.023904507064434626,-1.144196067950776,0.4,10
10,8,-1.1434426360029815,1.0016142055465223,0.0,0.024116666034031183,-1.144590869705237,0.4,10
11,8,-1.1458145611261956,1.002163281815174,0.009537331447203782,0.0245364309753622,-1.1459609726379674,0.4,10
12,8,-1.1452019035346515,1.0021130019317999,0.01885231533654989,0.024236482076385384,-1.1458355411198866,0.4,10
13,8,-1.1459100539383056,1.0022097468616176,0.02789358732771341,0.024487388405818662,-1.1460768818170153,0.4,10
14,8,-1.1448123900947471,1.0022006291767953,0.03664036835284342,0.024117916278258295,-1.1460541377598819,0.4,10
15,8,-1.1450280296196054,1.002081733726798,0.04502431502163097,0.024148391709224653,-1.1457575342165454,0.4,10
16,8,-1.1446019702299914,1.0020929140693948,0.053146047060974685,0.02422033394225021,-1.1457854268520729,0.4,10
17,8,-1.145197302509188,1.0021780512618603,0.06109302069375276,0.024249044458135645,-1.1459978162794242,0.4,10
18,8,-1.1447778830591384,1.0022538661057212,0.06876134955689901,0.024208606688639778,-1.1461869343114215,0.4,10
19,8,-1.1436367220123924,1.001969397232946,0.0760383849420793,0.024009304507933794,-1.1454772606939931,0.4,10
20,8,-1.1434917233698583,1.001717961217389,2.220446049250313e-16,0.02367719358657652,-1.1448498274374608,0.4,10
21,8,-1.145802271598407,1.0021805678868998,0.009319647801745828,0.023972506727155705,-1.1460040941605756,0.4,10
22,8,-1.1459966263491028,1.0022654314720425,0.018503296204536345,0.024271135404547978,-1.1462157825403585,0.4,10
23,8,-1.1456613420610615,1.0023129435950917,0.02742714151090154,0.023962305056797802,-1.1463342915586368,0.4,10
24,8,-1.1454696765579628,1.002271624776949,0.03598169124641066,0.023663026287049953,-1.146231230757909,0.4,10
25,8,-1.145567750831283,1.0023054465116779,0.044117491344908784,0.023822169633924733,-1.146315592030959,0.4,10
26,8,-1.144476070432973,1.002153707992662,0.05192458305262358,0.023849582180802752,-1.1459370896330305,0.4,10
27,8,-1.1441668589387541,1.00191019724935,0.05936596239260936,0.023037191898911222,-1.1453295472690537,0.4,10
28,8,-1.145221671505141,1.0020891123549869,0.06647560403000326,0.022350691121977996,-1.1457759423981704,0.4,10
29,8,-1.1448369019224336,1.002259041704426,0.0734103694895334,0.022593530245673763,-1.146199844177664,0.4,10
30,8,-1.1444890829062428,1.0021292814242202,2.220446049250313e-16,0.022286743943348647,-1.1458761537058877,0.4,10
31,8,-1.1441378171181886,1.0016191470081892,0.008910877619062637,0.023327579007328694,-1.1446032034197788,0.4,10
32,8,-1.1435253793877171,1.0014271134593138,0.017741257928890353,0.02315817687509698,-1.1441238496643171,0.4,10
33,8,-1.1433991608525271,1.001347078448923,0.026228937479853096,0.023169100721025224,-1.1439240392943892,0.4,10
34,8,-1.143068013428859,1.0013142146300305,0.034382115469321524,0.02305892846014479,-1.143841988927188,0.4,10
35,8,-1.1426234456048376,1.001213811052262,0.042313153385805935,0.023385778340412153,-1.1435912968605477,0.4,10
