step,r_s,ke,pot,elocal,weight,weightvar,elocalvar,eref,tau,popstep
0,4,-3.050893233822841,0.0,-3.050893233822841,0.994986086475814,0.0,0.4734297795182394,-3.14592032721937,0.2,10
1,4,-3.011387042361588,0.0,-3.011387042361588,0.9862518452432343,0.22262245498238076,0.43144340150355515,-3.10183527475918,0.2,10
2,4,-2.9480005820971,0.0,-2.9480005820971,0.977668606487869,0.5744385922523276,0.34290395267800966,-3.0581303813266696,0.2,10
3,4,-2.9038590315990707,0.0,-2.9038590315990707,0.9732328411618039,1.4510078131936155,0.2847764705715254,-3.035393338533907,0.2,10
4,4,-2.8722474368023483,0.0,-2.8722474368023483,0.972281922519414,2.695413666526835,0.2349615638094734,-3.030505589872902,0.2,10
5,4,-2.849624668527524,0.0,-2.849624668527524,0.9669333516146285,3.9754901866641017,0.2061340870443949,-3.0029244103169455,0.2,10
6,4,-2.83169048262288,0.0,-2.83169048262288,0.9608190687579423,5.232110985567765,0.19080764134973444,-2.971207145719187,0.2,10
7,4,-2.8176777086544442,0.0,-2.8176777086544442,0.9536618722138884,6.035954777077269,0.17109120310976159,-2.933822444026819,0.2,10
8,4,-2.8068018289901433,0.0,-2.8068018289901433,0.9489585195592868,6.669762899007134,0.16325419492358414,-2.9091019992356753,0.2,10
9,4,-2.7983741410407768,0.0,-2.7983741410407768,0.9460126409697142,7.3578067466258945,0.15707624221986607,-2.8935562166715503,0.2,10
10,4,-2.7910174200183606,0.0,-2.7910174200183606,0.9429122623642614,1.1102230246251565e-16,0.15210868677803194,-2.8771427457911525,0.2,10
11,4,-2.846330588667916,0.0,-2.846330588667916,0.9403777713857415,0.04683858192749332,0.22181599935165663,-2.8636849540374123,0.2,10
12,4,-2.828258904520176,0.0,-2.828258904520176,0.9381132623694466,0.09652410834681385,0.20516980987824615,-2.8516300116791915,0.2,10
13,4,-2.813698230246598,0.0,-2.813698230246598,0.9363606637186753,0.17544560530080083,0.1773142617536999,-2.842280192846924,0.2,10
14,4,-2.8025861983350997,0.0,-2.8025861983350997,0.9345328141628385,0.2546427913083468,0.16544892175181125,-2.832510261212565,0.2,10
15,4,-2.7932902767493175,0.0,-2.7932902767493175,0.9331228424988743,0.3423916865984814,0.15603306795011285,-2.824960839953886,0.2,10
16,4,-2.785965751568496,0.0,-2.785965751568496,0.9320760207626916,0.43615240305351194,0.1508234199813442,-2.8193484526277177,0.2,10
17,4,-2.779912651572775,0.0,-2.779912651572775,0.9315300311539456,0.5971008854055625,0.14081993543063195,-2.816418704552442,0.2,10
18,4,-2.7734805488254612,0.0,-2.7734805488254612,0.9301298036566199,0.752344550517642,0.13668496181494175,-2.8088973102827373,0.2,10
19,4,-2.769371317440893,0.0,-2.769371317440893,0.9291428662382689,0.9124884625745837,0.1338004076406034,-2.8035891189290565,0.2,10
20,4,-2.7655500784846145,0.0,-2.7655500784846145,0.9283848373280927,1.1102230246251565e-16,0.13106744878766796,-2.7995082702246217,0.2,10
21,4,-2.78910240076777,0.0,-2.78910240076777,0.9277438445206,0.030323935185618822,0.15777937764954772,-2.7960548844801822,0.2,10
22,4,-2.7821177764423024,0.0,-2.7821177764423024,0.9270796510378709,0.060671812006995285,0.15160145430424024,-2.7924739857439467,0.2,10
23,4,-2.775939690897603,0.0,-2.775939690897603,0.9264887196027739,0.09133055770525392,0.14372916814127557,-2.7892859109770405,0.2,10
24,4,-2.77032716730683,0.0,-2.77032716730683,0.925885306656492,0.12243994709818312,0.13966051523664688,-2.7860283994859953,0.2,10
25,4,-2.7660711491439596,0.0,-2.7660711491439596,0.9254005333106433,0.1584298603822838,0.13383639776761835,-2.7834098230000563,0.2,10
26,4,-2.7623194183454354,0.0,-2.7623194183454354,0.9249335194739692,0.19698031922887396,0.12936743368927814,-2.7808858795754188,0.2,10
27,4,-2.7595517479481484,0.0,-2.7595517479481484,0.9245314033685833,0.23367728152018197,0.12993490542010852,-2.7787116501171805,0.2,10
28,4,-2.756196829492805,0.0,-2.756196829492805,0.9241495417686725,0.26746623608338255,0.12463125760977792,-2.7766460605607666,0.2,10
29,4,-2.753663132661593,0.0,-2.753663132661593,0.9237245654472601,0.3003994441961369,0.12360062989456902,-2.7743462484293806,0.2,10
30,4,-2.7514671028211546,0.0,-2.7514671028211546,0.923421677514732,2.220446049250313e-16,0.1214953082213792,-2.772706486897793,0.2,10
31,4,-2.7674521530585037,0.0,-2.7674521530585037,0.9232020194254019,0.025821681466835656,0.13893234400745255,-2.7715169749754125,0.2,10
32,4,-2.763596241401776,0.0,-2.763596241401776,0.9230575542298878,0.052385948981076354,0.13455917545730872,-2.770734499976391,0.2,10
33,4,-2.760280402947054,0.0,-2.760280402947054,0.9228902302449189,0.07922036371853161,0.12924568187021837,-2.7698280605481775,0.2,10
34,4,-2.7575040904730233,0.0,-2.7575040904730233,0.9227407448729776,0.10869587433397503,0.12768656206151982,-2.7690181187218674,0.2,10
35,4,-2.754653058713735,0.0,-2.754653058713735,0.9225508445126527,0.139277091364516,0.12483470437553949,-2.767989011115852,0.2,10
36,4,-2.752025109528709,0.0,-2.752025109528709,0.9222715235466303,0.16518826954817845,0.12362277078200565,-2.7664749305572416,0.2,10
37,4,-2.7500521528122412,0.0,-2.7500521528122412,0.9220656443475052,0.18853559058858782,0.12167238371989271,-2.7653586531023153,0.2,10
38,4,-2.7480626535954586,0.0,-2.7480626535954586,0.9219292093038182,0.21073140420335346,0.12257917867774015,-2.764618764681988,0.2,10
39,4,-2.7475374976567988,0.0,-2.7475374976567988,0.9219969673159558,0.23851672733483437,0.122663600299956,-2.764986230652303,0.2,10
40,4,-2.745899502980269,0.0,-2.745899502980269,0.9219406220380255,3.3306690738754696e-16,0.11852610088490063,-2.764680660234554,0.2,10
41,4,-2.7594381748596195,0.0,-2.7594381748596195,0.9216965193383108,0.02416831876654569,0.13095351191482152,-2.7633566323352303,0.2,10
42,4,-2.7566122760760416,0.0,-2.7566122760760416,0.9215505056236472,0.0477616177708554,0.12651129427107274,-2.762564477442307,0.2,10
43,4,-2.753809282443259,0.0,-2.753809282443259,0.9214670097313895,0.0708680232942371,0.12582753891624182,-2.762111438382075,0.2,10
44,4,-2.751455328185465,0.0,-2.751455328185465,0.9214436071623876,0.09957797139172654,0.1268292126073497,-2.7619844513823333,0.2,10
45,4,-2.749275091388207,0.0,-2.749275091388207,0.9215687123729238,0.16696165164839752,0.12090789232797233,-2.762663259708259,0.2,10
46,4,-2.7478959595387313,0.0,-2.7478959595387313,0.9215027403243383,0.24453947824002445,0.12082915355653824,-2.762305313473906,0.2,10
47,4,-2.746247355575205,0.0,-2.746247355575205,0.9214180179981191,0.3085892716986623,0.1206813789303196,-2.761845595789918,0.2,10
48,4,-2.7447684971821857,0.0,-2.7447684971821857,0.9213019442966308,0.35604503433696333,0.11805531095703002,-2.761215691604709,0.2,10
49,4,-2.7439599257723177,0.0,-2.7439599257723177,0.9212311131218549,0.39010359515024645,0.11814011197244165,-2.7608312687878396,0.2,10
50,4,-2.742637504534318,0.0,-2.742637504534318,0.921208067041954,0.0,0.11746758836959495,-2.7607061841709353,0.2,10
51,4,-2.75586231227878,0.0,-2.75586231227878,0.9209730774184027,0.024171815505857855,0.12958708479898512,-2.7594305787532356,0.2,10
52,4,-2.7532967121902585,0.0,-2.7532967121902585,0.9209138029844602,0.047897223307939635,0.12645808438578954,-2.7591087651033663,0.2,10
