step,elocal,weight,weightvar,elocalvar,eref,tau
0,-2.9674179352882675,0.999965743571659,3.3306690738754696e-16,0.5121347772147973,-2.973451060031511,0.01
1,-2.955313138508367,0.9997675033961725,2.220446049250313e-16,0.5143174408160565,-2.953624398006789,0.01
2,-2.958523769904617,0.9998541815302827,1.1102230246251565e-16,0.531542019821556,-2.962293851315673,0.01
3,-2.922102360267376,0.9994764051527026,2.220446049250313e-16,0.5187746036666836,-2.924503564447454,0.01
4,-2.9174247249779053,0.9994340548059698,1.1102230246251565e-16,0.4972627241948425,-2.920266221396069,0.01
5,-2.9449155320322125,0.9997264225457129,0.0,0.5236004731704854,-2.9495152731995313,0.01
6,-2.9352740754513578,0.9995701679469586,0.0,0.5400237709859862,-2.933884315810279,0.01
7,-2.9680310993966934,0.9998992214431636,1.1102230246251565e-16,0.5570007642117494,-2.9667983980084585,0.01
8,-3.0078811209693095,1.000345738745811,4.440892098500626e-16,0.5530888366108957,-3.01144466073646,0.01
9,-3.0178528499689903,1.0004342149645076,2.220446049250313e-16,0.5623862059050402,-3.020288833589182,0.01
10,-3.06461904610038,1.0009356227601143,4.440892098500626e-16,0.5849650295902595,-3.0703952953381815,0.01
11,-3.0258285353383703,1.0005797225922581,0.0,0.5660069508280772,-3.0348322233453966,0.01
12,-3.004463088648519,1.000331605939067,0.0,0.5562803646960972,-3.0100318585391292,0.01
13,-2.9850426801370764,1.0001306919166273,0.0,0.5455879941438733,-2.989945099260478,0.01
14,-2.979210781445827,1.00003762147608,2.220446049250313e-16,0.5639485448040807,-2.980638838383179,0.01
15,-3.0312256594169065,1.0005639065096987,0.0,0.5753996589036923,-3.0332515189591667,0.01
16,-3.047091631639603,1.0007551872828395,0.0,0.5928923393817104,-3.0523669887826954,0.01
17,-3.0432861340809807,1.0007112431738228,2.220446049250313e-16,0.5674048180025046,-3.0479757975685584,0.01
18,-3.0322823266309378,1.0005653991033883,2.220446049250313e-16,0.5483571015594881,-3.033400694095913,0.01
19,-3.0077220637079587,1.0004290446586963,2.220446049250313e-16,0.5216699341509085,-3.0197720260775394,0.01
20,-2.991426873909722,1.0002157572539594,2.220446049250313e-16,0.5189818893832018,-2.998450159713125,0.01
21,-2.9536474136810282,0.9997750922563783,0.0,0.5118676736804582,-2.9543834576259647,0.01
22,-2.9622291847622706,0.9998666831535706,1.1102230246251565e-16,0.5219724852700713,-2.9635441881510856,0.01
23,-2.939709516901111,0.9996772523278904,1.1102230246251565e-16,0.5234622376175811,-2.9445967849072283,0.01
24,-2.930928337280291,0.9995668099017281,3.3306690738754696e-16,0.5010280149486112,-2.9335483663213355,0.01
25,-2.929217062990858,0.9995987702333716,1.1102230246251565e-16,0.4993166401970185,-2.9367457334593046,0.01
26,-2.902575188239508,0.9993012489457525,1.1102230246251565e-16,0.50452406250981,-2.9069772320873994,0.01
27,-2.8664668398903914,0.9989452228321537,0.0,0.48101878302299944,-2.8713433778662827,0.01
28,-2.8198578077540692,0.998447808640776,0.0,0.4759555075409449,-2.821537035917287,0.01
29,-2.8555712868242917,0.9987820303934888,1.1102230246251565e-16,0.48326664574927636,-2.85500556811127,0.01
30,-2.852246813051467,0.9987046419453661,2.220446049250313e-16,0.4807757118004024,-2.8472569859321513,0.01
