step,elocal,weight,weightvar,elocalvar,eref,tau,popstep
0,-3.746290344104077,1.000973881692602,2.220446049250313e-16,0.2892436717242787,-3.357145774941439,0.0025,10
1,-3.7459105273702122,1.0019510002457024,0.0006998214115748066,0.29376249693605483,-3.747422470559066,0.0025,10
2,-3.75517321951187,1.0019595190144521,0.001379166945237374,0.2904574923178248,-3.750823328498762,0.0025,10
3,-3.7526353432145196,1.001968344346889,0.0020300421509953865,0.2929563102985657,-3.75434654212268,0.0025,10
4,-3.75246669705152,1.0019653131608475,0.002656652379816252,0.28800237254881134,-3.753136447754498,0.0025,10
5,-3.749065103271603,1.0019611849597143,0.003268256484153029,0.29071331808208006,-3.7514884028238864,0.0025,10
6,-3.745018995434982,1.0019522063331707,0.0038734183203471897,0.2923273168360693,-3.7479039658586317,0.0025,10
7,-3.7410649995416807,1.0019425301100164,0.004473462862035979,0.2941593970692496,-3.7440409992153563,0.0025,10
8,-3.7536173928682293,1.0019536303286298,0.005067914261180033,0.2905621862826525,-3.7484724538316527,0.0025,10
9,-3.7486991711543025,1.0019634557048394,0.005646551672675981,0.29417012468676684,-3.752394921992865,0.0025,10
10,-3.7431196497780483,1.001950604160255,0.0,0.2978607634600676,-3.7472643448521143,0.0025,10
11,-3.7389407572704494,1.0019291774767451,0.0007164216370828993,0.29722361534668185,-3.738710265427953,0.0025,10
12,-3.735787810644273,1.0019265517140143,0.001416665207836803,0.3001851496100209,-3.737661981285518,0.0025,10
13,-3.7427049507883945,1.001931701892309,0.002091246393819581,0.29335890100648243,-3.7397180861164614,0.0025,10
14,-3.746707015477522,1.0019457689057885,0.002742903336594322,0.2962395694664138,-3.7453340037300333,0.0025,10
15,-3.744024094191605,1.0019478249689937,0.0033884853132514266,0.2988790586725773,-3.7461548310280492,0.0025,10
16,-3.741414261439711,1.0019415600093806,0.004020944933014789,0.2984350064789114,-3.743653711091949,0.0025,10
17,-3.7432857537643494,1.0019409724032415,0.0046399410860469715,0.2955379816511736,-3.7434191240322607,0.0025,10
18,-3.746411166611696,1.001947498674889,0.005237020497295788,0.29045880730650464,-3.7460245670962675,0.0025,10
19,-3.7516507029715234,1.0019581923274656,0.005810118420882873,0.2891233548709203,-3.750293691187137,0.0025,10
20,-3.7464182486512754,1.0019584815480047,4.440892098500626e-16,0.28990230638495396,-3.7504091532889166,0.0025,10
21,-3.737005552953083,1.0019306312000105,0.000719938059960601,0.2970205654286323,-3.7392906346767463,0.0025,10
22,-3.7421320244186056,1.0019320739083477,0.0014186753869764462,0.2952194528779158,-3.7398666056086847,0.0025,10
23,-3.7350359635639037,1.001930037095641,0.0020898961905571503,0.2964254810942553,-3.7390534507730986,0.0025,10
24,-3.738992664804809,1.001926510868082,0.0027448684881868925,0.29630550087203283,-3.7376456743281428,0.0025,10
25,-3.7424622732308745,1.0019362265400384,0.003395767996273257,0.2968232108092375,-3.741524451761426,0.0025,10
26,-3.741105357722202,1.001939227037835,0.0040295017980418015,0.29608075369683945,-3.742722329719798,0.0025,10
27,-3.737397769080758,1.0019332245623798,0.004650018520580695,0.2954508441739456,-3.7403259794130523,0.0025,10
28,-3.7355985579939888,1.0019266968731566,0.005267414784694403,0.29166685113880564,-3.737719933290435,0.0025,10
29,-3.7409225609193233,1.0019314484527104,0.005877277069029831,0.29370994924001725,-3.739616905714331,0.0025,10
30,-3.7374633680442657,1.001934104773076,2.220446049250313e-16,0.2944401038168359,-3.740677384192647,0.0025,10
31,-3.741765626538644,1.0019376039343801,0.0006889898318776667,0.2845435258412559,-3.742074344402741,0.0025,10
32,-3.7458389562875034,1.0019426106893168,0.0013542055422825256,0.28843728534990737,-3.7440731684442317,0.0025,10
33,-3.746930082672912,1.0019494981388744,0.0020081088559241404,0.2913973658280748,-3.746822797339803,0.0025,10
34,-3.7543009965224945,1.0019604964164908,0.002651737037936324,0.29117973333743524,-3.751213524526741,0.0025,10
35,-3.7497639755010623,1.0019644102657095,0.0032802259921184385,0.288556080732089,-3.7527759979330777,0.0025,10
36,-3.751503117221783,1.0019612268622033,0.0038896278859485555,0.28557339108663177,-3.751505131011821,0.0025,10
37,-3.7438309894016673,1.0019541055034935,0.00448514223060774,0.2876172864718307,-3.748662153129542,0.0025,10
38,-3.7456309278146254,1.0019470552546417,0.005070655143074047,0.2870267527347371,-3.7458475437106893,0.0025,10
39,-3.74642064789968,1.0019506244883156,0.005653061377830224,0.2877888117637536,-3.747272460246103,0.0025,10
40,-3.7437954980120787,1.001948646407342,2.220446049250313e-16,0.28736177869241847,-3.7464827674695913,0.0025,10
41,-3.748824945887802,1.0019463932027528,0.0006979935830814172,0.29010296777310957,-3.7455832374863953,0.0025,10
42,-3.7470400582929644,1.0019529803856493,0.0013764331978603855,0.2899328585368489,-3.7482129834639846,0.0025,10
43,-3.752318876678582,1.0019577708257204,0.0020326762992084065,0.2900307110174461,-3.7501254199607406,0.0025,10
44,-3.7472637456199784,1.0019584461548414,0.0026757629776812163,0.2910819972070394,-3.750395023695814,0.0025,10
45,-3.751853390212479,1.0019582315733981,0.0033052372726573294,0.28786269578243723,-3.7503093588792598,0.0025,10
46,-3.7486373560530017,1.0019603194794362,0.003927374253398382,0.290152166667542,-3.7511428881809254,0.0025,10
47,-3.7527723664090646,1.0019617874491813,0.00453409944736782,0.2856646387674466,-3.75172892682587,0.0025,10
48,-3.7516540301481647,1.0019658563756344,0.0051257652429638175,0.2865606578343386,-3.753353307412957,0.0025,10
49,-3.7526314287632876,1.0019660277646245,0.005716981146151288,0.2867098531039956,-3.7534217284971434,0.0025,10
50,-3.7503892236105973,1.001964749202569,2.220446049250313e-16,0.28707124468644657,-3.752911306851648,0.0025,10
51,-3.7532740932917266,1.0019629740577858,0.000700907263456133,0.29118674578337106,-3.752202640660724,0.0025,10
52,-3.756515270115366,1.0019704190737573,0.0013772936883032312,0.28747921630367756,-3.7551748017104285,0.0025,10
53,-3.7589655224744174,1.0019779510242182,0.0020275163959629426,0.2864208924209255,-3.758181645828063,0.0025,10
54,-3.757983283478779,1.0019801669782156,0.0026608241994016957,0.28647134829641896,-3.7590662766903398,0.0025,10
55,-3.7609879072174617,1.00198304094865,0.0032759003157441565,0.28994683246549513,-3.7602135913408485,0.0025,10
56,-3.762619718054556,1.0019891949531696,0.0038829200465604983,0.2881814390885766,-3.762670313808078,0.0025,10
57,-3.7652293707807707,1.001994840408552,0.00448201811483689,0.2854106461401425,-3.7649240065651552,0.0025,10
58,-3.7623631136733158,1.0019948132430887,0.005068242352070128,0.2855128609536903,-3.764913162012863,0.0025,10
