step,r_s,ke,pot,elocal,weight,weightvar,elocalvar,eref,tau,popstep
0,4,-1.0538408080825346,0.0,-1.0538408080825346,0.9994683100834142,2.220446049250313e-16,0.2759403517771982,-1.084669345484503,0.2,10
1,4,-1.0433110823265666,0.0,-1.0433110823265666,0.9960506602920685,0.06393317507925907,0.25534795081865125,-1.0675427073334662,0.2,10
2,4,-1.0220250586049422,0.0,-1.0220250586049422,0.9930243574072433,0.12467442562309966,0.2287113866800521,-1.0523280714195709,0.2,10
3,4,-1.007501717714173,0.0,-1.007501717714173,0.9921788861280398,0.22449476314935354,0.29142078996709536,-1.0480692060712815,0.2,10
4,4,-0.9929810744748913,0.0,-0.9929810744748913,0.995069486331802,0.5991025329580466,0.18381136423565675,-1.0626149582905542,0.2,10
5,4,-0.984052130790878,0.0,-0.984052130790878,0.9891497183716849,0.7362446436101316,0.18298424416762304,-1.0327806259255772,0.2,10
6,4,-0.9746495874569028,0.0,-0.9746495874569028,0.9886622359577839,0.8987564576517458,0.1663263045895525,-1.0303158697453678,0.2,10
7,4,-0.9671513610112946,0.0,-0.9671513610112946,0.9864909994559626,1.028645641343904,0.15615996277185434,-1.019323115677124,0.2,10
8,4,-0.9606105015727578,0.0,-0.9606105015727578,0.984169428095735,1.1076426032052276,0.1864889440060987,-1.0075424334156684,0.2,10
9,4,-0.9565891332215039,0.0,-0.9565891332215039,0.983062325047392,1.1486938701849014,0.14767023459757228,-1.0019147123123875,0.2,10
10,4,-0.9509419207005578,0.0,-0.9509419207005578,0.9823062582941969,0.0,0.1383053441208258,-0.998067765755389,0.2,10
11,4,-0.9816917114645768,0.0,-0.9816917114645768,0.9813758043966236,0.045870843914092345,0.1986998988499557,-0.9933294530474133,0.2,10
12,4,-0.9726590350233292,0.0,-0.9726590350233292,0.9806004553005736,0.09607829688573234,0.182317592324927,-0.9893775747686583,0.2,10
13,4,-0.9652033515017628,0.0,-0.9652033515017628,0.9798975487075824,0.14348350007529267,0.16779207291734613,-0.9857922274657128,0.2,10
14,4,-0.9591004897027587,0.0,-0.9591004897027587,0.9795764278393111,0.20031315569547212,0.17583022940280965,-0.984153415851016,0.2,10
15,4,-0.9545164926853776,0.0,-0.9545164926853776,0.9798041740861416,0.2975634054982912,0.14293608570753366,-0.9853157538247228,0.2,10
16,4,-0.9509486507975021,0.0,-0.9509486507975021,0.978565305913056,0.3705185954525638,0.13426298050412097,-0.9789897343937778,0.2,10
