step,r_s,ke,pot,elocal,weight,weightvar,elocalvar,eref,tau,popstep
0,1,-2.715919322758843,0.0,-2.715919322758843,0.9986793774691924,1.1102230246251565e-16,1.136891758546841,-2.8448495270881136,0.05,10
1,1,-2.7401326768309646,0.0,-2.7401326768309646,0.9988467162049852,0.05938597963232804,1.0166194454821944,-2.848200446742464,0.05,10
2,1,-2.765633442423816,0.0,-2.765633442423816,0.997117583878551,0.10478377116489877,1.2206575052202318,-2.8135478678574906,0.05,10
3,1,-2.690045358743724,0.0,-2.690045358743724,0.996928065296245,0.1488666297225299,0.909285844449221,-2.809746177902096,0.05,10
4,1,-2.660270906071978,0.0,-2.660270906071978,0.9938430148143458,0.1761428460277679,0.9858768944831527,-2.747759081900874,0.05,10
5,1,-2.636578594843644,0.0,-2.636578594843644,0.9930624168985951,0.2052800521919927,0.9764593065531286,-2.732044233202939,0.05,10
6,1,-2.728335215033877,0.0,-2.728335215033877,0.995386041758587,0.23702645094743108,1.4062822908210844,-2.7787867254720524,0.05,10
7,1,-2.6222956880926986,0.0,-2.6222956880926986,0.9959224397184878,0.27336646546283155,0.8612701182934738,-2.789561509547229,0.05,10
8,1,-2.5928078160968027,0.0,-2.5928078160968027,0.9904243395695872,0.2903831410973302,0.9489892572587684,-2.678843396324106,0.05,10
9,1,-2.5637997570031312,0.0,-2.5637997570031312,0.9888862532766316,0.3061494241398532,0.7506689970324179,-2.6477601169619063,0.05,10
10,1,-2.617876715882391,0.0,-2.617876715882391,0.9899631206611765,0.0,0.9073403374356646,-2.669527665417677,0.05,10
11,1,-2.6773108275246824,0.0,-2.6773108275246824,0.994300324436694,0.04745981366703545,0.9209832992482676,-2.756959819521452,0.05,10
12,1,-2.6510710301220652,0.0,-2.6510710301220652,0.9924093870300796,0.09828196551900091,1.3462561495712868,-2.7188880676855867,0.05,10
13,1,-2.7025102910780308,0.0,-2.7025102910780308,0.9960839731568507,0.1944609147115899,1.259854485389203,-2.7928051424526856,0.05,10
14,1,-2.664780349539047,0.0,-2.664780349539047,0.9965323470413765,0.25675211915592505,0.8910687073675227,-2.801805849463832,0.05,10
15,1,-2.6424006090983347,0.0,-2.6424006090983347,0.9940284144149231,0.3013369741647862,0.8883870780788734,-2.7514896974404737,0.05,10
16,1,-2.5943713499648995,0.0,-2.5943713499648995,0.9909455749675942,0.32506113036780465,0.7721968701186561,-2.689366124184397,0.05,10
17,1,-2.607841923498974,0.0,-2.607841923498974,0.9891638641500194,0.33443316496613207,0.8254848902135905,-2.653373945909209,0.05,10
18,1,-2.6101618878853197,0.0,-2.6101618878853197,0.9899482324481124,0.34322951477650465,0.9125642135917118,-2.6692268799700667,0.05,10
19,1,-2.5388837228816885,0.0,-2.5388837228816885,0.9880692680224736,0.350902949861783,0.758313942987159,-2.631229946366484,0.05,10
20,1,-2.543166194747204,0.0,-2.543166194747204,0.985379176099062,1.1102230246251565e-16,0.6919410680506198,-2.57670420291203,0.05,10
21,1,-2.694114000625288,0.0,-2.694114000625288,0.9913597963805428,0.16011027368242403,2.726058271166451,-2.6977245017575875,0.05,10
22,1,-2.5629704608878234,0.0,-2.5629704608878234,1.0165793482908387,0.8303183196253829,0.7707653476528239,-3.200147660226474,0.05,10
23,1,-2.557457504676254,0.0,-2.557457504676254,0.9869231177180168,0.8128509091579357,0.725644495625379,-2.608016683542771,0.05,10
24,1,-2.5894165690085176,0.0,-2.5894165690085176,0.987492388363427,0.8127111311346326,0.7443644166058642,-2.6195496290536084,0.05,10
