,n_equil,r_s,tau,eavg,err
0,4000,2,0.025,-0.7187559529597363,0.0007289376772660057
1,2000,2,0.05,-0.714336335610933,0.0007426817101044288
2,1000,2,0.1,-0.7079392591364717,0.0008186365705542032
3,500,2,0.2,-0.7023972599217234,0.0009383634884225575
