step,r_s,ke,pot,elocal,weight,weightvar,elocalvar,eref,tau,popstep
0,4,-3.052082942531231,0.0,-3.052082942531231,1.0079814973083114,2.220446049250313e-16,0.4625036878759226,-3.214406072285809,0.2,10
1,4,-3.0243733275009057,0.0,-3.0243733275009057,0.988138980111429,0.13860851660600193,0.4536006803718992,-3.1149973891162928,0.2,10
2,4,-2.9601813668950445,0.0,-2.9601813668950445,0.9827955093767181,0.5140767443570339,0.40656459248563176,-3.087885966310371,0.2,10
3,4,-2.9138600326353497,0.0,-2.9138600326353497,0.9994860269001928,2.57017748732421,0.2932113791961838,-3.172086477960639,0.2,10
4,4,-2.87947056325707,0.0,-2.87947056325707,0.9750759115450138,3.306933184278068,0.24952929952484193,-3.048457239006021,0.2,10
5,4,-2.8565731096002267,0.0,-2.8565731096002267,0.9644596054026151,3.6487936521741595,0.2585512117201467,-2.9937203596068596,0.2,10
6,4,-2.8358240065826794,0.0,-2.8358240065826794,0.9641401333707252,4.028228438868094,0.20538189338729873,-2.992063862261199,0.2,10
7,4,-2.8196639352711887,0.0,-2.8196639352711887,0.9621546930898986,4.417608174298267,0.17978366181441346,-2.9817568160259484,0.2,10
8,4,-2.8082235460329183,0.0,-2.8082235460329183,0.9555240520506277,4.720406179996877,0.15985625766675987,-2.94718028708459,0.2,10
9,4,-2.7987522110413736,0.0,-2.7987522110413736,0.94383200323159,4.797218414993918,0.1506910529283649,-2.885621547345556,0.2,10
10,4,-2.7886442541067216,0.0,-2.7886442541067216,0.9392001047698499,1.1102230246251565e-16,0.14062499920166777,-2.8610234123264924,0.2,10
11,4,-2.8294805272782484,0.0,-2.8294805272782484,0.9358760243047691,0.03469403224087943,0.18166529565447867,-2.843295684391828,0.2,10
12,4,-2.815725658199602,0.0,-2.815725658199602,0.933814687964047,0.07478151350753587,0.1880505377186993,-2.832270667460486,0.2,10
13,4,-2.805171080851906,0.0,-2.805171080851906,0.9329937075900255,0.14868090453819982,0.16670816857196302,-2.8278728919367433,0.2,10
14,4,-2.795667106846982,0.0,-2.795667106846982,0.9320400499758904,0.2506012040584975,0.15178138325771637,-2.8227595383935054,0.2,10
15,4,-2.785352180957825,0.0,-2.785352180957825,0.9298429097616608,0.31117428364608896,0.13781324951926283,-2.810958897420799,0.2,10
16,4,-2.780163230799405,0.0,-2.780163230799405,0.9280365025845,0.33860338209660173,0.13548707045429428,-2.801235942667165,0.2,10
