,n_equil,r_s,tau,ke,ke_err,eavg,err
0,160,10,0.125,0.00013113189956333456,1.778664430620399e-05,-0.141931750546334,0.00011401538811532455
1,80,10,0.25,0.00012623630052884918,1.8047891598392595e-05,-0.14196013764159782,0.00014549275835604595
2,40,10,0.5,0.00011055431425650463,1.9117988326854113e-05,-0.14179418440113883,0.00010279537805309173
3,20,10,1.0,0.00012549377894553455,2.2565322085639133e-05,-0.14205120757113104,0.00015418219757144612
