step,r_s,elocal,weight,weightvar,elocalvar,eref,tau,popstep
0,8,-2.923486513591174,1.001454731846789,2.220446049250313e-16,0.18175146559219302,-2.9406027254753875,0.4,10
1,8,-2.93896888016832,1.0095705795522893,0.10526524456180406,0.1727864098332757,-2.960781217809654,0.4,10
2,8,-2.942029001571908,1.0101465117058444,0.1926233176233045,0.18572665377003617,-2.9622069921709695,0.4,10
3,8,-2.9380007325098774,1.0144757841134318,0.2915309460322967,0.1584761600240087,-2.9728985641616976,0.4,10
4,8,-2.9440666184348285,1.0179907279145641,0.38965941282393524,0.17239141461832402,-2.9815455634714603,0.4,10
5,8,-2.9522880029665926,1.0265525821725259,0.4970602107783276,0.25574366641241353,-3.002483990807724,0.4,10
6,8,-2.954799511379438,1.0412690899778032,0.7375281789550836,0.1842167234106001,-3.0380691587092463,0.4,10
7,8,-2.9565866443404514,1.038748348705149,0.8989455247208505,0.1868589891891344,-3.0320097323318107,0.4,10
8,8,-2.954972337177112,1.0442739669228798,1.073881374770491,0.20284970238288721,-3.04527322724778,0.4,10
9,8,-2.948423818581386,1.05244295159163,1.3156981640547072,0.18721258703055654,-3.064753744456868,0.4,10
10,8,-2.9402650700228694,1.061943667403558,2.220446049250313e-16,0.18095830179255024,-3.087220732443541,0.4,10
11,8,-3.0247098439131688,1.0781593480926943,0.2517153477784265,0.314287817342166,-3.1251067381780877,0.4,10
12,8,-2.9785793711423505,1.0576190752718881,0.46267338562569116,0.21325681665482993,-3.0770191044247386,0.4,10
13,8,-2.9596820301887803,1.0551049866858688,0.8481526613030789,0.21489969289642988,-3.071069227159711,0.4,10
14,8,-2.945946392085205,1.0737334223997357,1.7998553148762049,0.17538756422977086,-3.114822926655037,0.4,10
15,8,-2.9365975472599986,1.0674157784191152,2.7152608814057095,0.16320123220230592,-3.1000699558858607,0.4,10
16,8,-2.932276143077448,1.0593797199889856,3.4647622806677045,0.1720715516664935,-3.0811774561606264,0.4,10
17,8,-2.924710640939051,1.0490377207745074,3.999848562436383,0.1556807194477345,-3.0566517575048655,0.4,10
18,8,-2.9212844839228547,1.0407689386289285,4.445321212551792,0.14600645890889216,-3.0368680486631687,0.4,10
19,8,-2.9203121034897803,1.0312093435488372,4.730074301487073,0.13910138884955792,-3.0137991222319176,0.4,10
20,8,-2.92197847901751,1.0222406972071911,2.220446049250313e-16,0.15202203439167078,-2.9919609883774574,0.4,10
21,8,-3.0378417060967102,2.308944805314961,28.7477775259471,1.4095659326964358,-5.028945103440382,0.4,10
22,8,-2.9688565069340087,339.1574130978203,7565.875481335629,0.42908195344354555,-17.50312940116861,0.4,10
23,8,-2.9455023762313317,1.378701789350667,30.761587245071077,0.19428587483440554,-3.7398243487220153,0.4,10
24,8,-2.9360531389974738,1.3273754451723807,29.62072733763208,0.16852497335917743,-3.6449776464012267,0.4,10
25,8,-2.9267584340181645,1.2742252709051205,28.438251005966737,0.1521674410652106,-3.5428144467652,0.4,10
26,8,-2.9254715885956193,1.1551955474998203,25.783310032441854,0.15357949606294155,-3.2976426256964197,0.4,10
27,8,-2.926911599031321,1.0900243791561366,24.329511890351807,0.16398212784694863,-3.1524686940747286,0.4,10
28,8,-2.925254998306545,1.0403647620681058,23.221099992979024,0.15729246581954073,-3.0358969996484695,0.4,10
29,8,-2.9318757559281012,1.005426544576933,22.440904382575567,0.1832788547574192,-2.9504982234364485,0.4,10
30,8,-2.9408375332842627,0.9716188834628389,3.3306690738754696e-16,0.23487863929004074,-2.864989422066767,0.4,10
31,8,-2.884454454334069,0.971800340917298,0.007238698160521438,0.03711903232440091,-2.865456273101042,0.4,10
32,8,-2.916440023422355,0.985765514820851,0.024300784158591573,0.060415304290157776,-2.9011266204886983,0.4,10
33,8,-2.949181216667084,0.9993038142845713,0.05114665252762197,0.0891198512320946,-2.9352274681885784,0.4,10
34,8,-2.985778981566244,1.0152549474272614,0.09760732979234962,0.14362764825073185,-2.97481794031341,0.4,10
35,8,-3.0172113662421642,1.034291329372555,0.18359544846175718,0.19830617880872656,-3.0212597542990225,0.4,10
36,8,-3.048367942763987,1.0574343469262495,0.3377478161748153,0.23718830323118814,-3.0765824054171182,0.4,10
37,8,-3.064752077492368,1.0795792891673281,0.5378215627914822,0.24856452030453488,-3.1283970840408486,0.4,10
38,8,-3.077683311374452,1.099564020328462,0.7727764185922165,0.30115948005756604,-3.174252928808871,0.4,10
39,8,-3.066446470952376,1.1152765563556586,1.0630554246711743,0.2813603961117061,-3.2097245555093026,0.4,10
40,8,-3.0599576027423105,1.1214205759729283,0.0,0.27134071361934703,-3.2234591711214673,0.4,10
41,8,-3.214097574518041,1.1538838422941753,0.2279513487102562,0.4406075399512845,-3.2948023046738144,0.4,10
42,8,-3.1607590387693802,1.161929263839646,0.5947022762182703,0.4468321610075196,-3.3121729938122533,0.4,10
43,8,-3.0907203879095824,1.1672223927328924,1.0679150325128002,0.38294330837935453,-3.3235357962096055,0.4,10
44,8,-3.031254945454486,1.1507527028667355,1.5956825955390448,0.2748148355414181,-3.2880091698505165,0.4,10
45,8,-2.985692617075446,1.1219228818561842,1.9567759352319436,0.23111450438125994,-3.224578718576176,0.4,10
46,8,-2.9615834405496515,1.1122850546815264,2.4849076976626145,0.28007780583492853,-3.2030098063914445,0.4,10
47,8,-2.947649881436985,1.1130209930656443,3.1419672402375296,0.4553526257065978,-3.204663373125991,0.4,10
48,8,-2.9153564077093934,1.1605818280968818,4.360146468517318,0.14084555234489832,-3.309272176893402,0.4,10
49,8,-2.9042178217438015,1.105424891331033,5.088594682271491,0.12272164928948932,-3.187542983860777,0.4,10
50,8,-2.9037510863354346,1.0776054689383634,2.220446049250313e-16,0.11533832864442771,-3.123822091629117,0.4,10
51,8,-3.031637088984221,1.0558388934513696,0.09842311427691045,0.20724367845343414,-3.0728075651657005,0.4,10
52,8,-2.9882682572798576,1.0387950829525743,0.17640403654431042,0.16227830461122525,-3.0321222071102474,0.4,10
53,8,-2.95628663462347,1.0249377987702273,0.239069286505191,0.15279923277795468,-2.99854835515769,0.4,10
54,8,-2.9318470040350886,1.01391626930464,0.2937229501143125,0.12826649941270088,-2.9715193563748223,0.4,10
55,8,-2.9249346466052337,1.0067598086958267,0.33759562132026555,0.13364133798815575,-2.9538111976841868,0.4,10
56,8,-2.925970682025213,1.0058767362084347,0.38214238378931376,0.13457436518381516,-2.951617377477812,0.4,10
57,8,-2.933807757569999,1.0087820338902838,0.43382711898567594,0.14465166875753438,-2.9588277789088555,0.4,10
